Date,Actual,ARIMA_Forecast,Error,Absolute_Error,Percentage_Error
2020-10-01,750.459,752.2411883706833,-1.7821883706833432,1.7821883706833432,0.23747977846669083
2020-11-01,755.4286,749.9230342188785,5.505565781121504,5.505565781121504,0.7288002838549539
2020-12-01,775.9651,757.0838285575827,18.8812714424173,18.8812714424173,2.433262970514692
2021-01-01,757.2348,781.662739614186,-24.427939614186016,24.427939614186016,3.22593990849153
2021-02-01,742.5595,749.9956917171861,-7.436191717186148,7.436191717186148,1.0014270529413667
2021-03-01,727.0568,740.3520902457448,-13.295290245744809,13.295290245744809,1.828645333589454
2021-04-01,726.0697,723.0751604633623,2.994539536637717,2.994539536637717,0.4124314148679827
2021-05-01,738.7936,726.9634281330275,11.830171866972478,11.830171866972478,1.6012823970013381
2021-06-01,753.8548,742.3401842239203,11.514615776079609,11.514615776079609,1.5274315128164746
2021-07-01,762.2005,757.3189806535139,4.8815193464861295,4.8815193464861295,0.6404508192379996
2021-08-01,770.7613,763.6716252957383,7.089674704261711,7.089674704261711,0.9198275398961665
2021-09-01,774.1178,772.9007301596939,1.217069840306067,1.217069840306067,0.15722023706289495
2021-10-01,781.81,774.4850301673989,7.3249698326010275,7.3249698326010275,0.9369245510547356
2021-11-01,799.6378,784.0208142366541,15.616985763345838,15.616985763345838,1.9530074445387446
2021-12-01,832.0225,804.3679979028616,27.654502097138447,27.654502097138447,3.3237685395693566
2022-01-01,824.9314,840.494550388427,-15.563150388426948,15.563150388426948,1.8865993449184923
2022-02-01,817.9194,820.241588991035,-2.3221889910349773,2.3221889910349773,0.28391415963907657
2022-03-01,819.1544,817.2180708247797,1.936329175220294,1.936329175220294,0.23638146547467656
2022-04-01,839.2068,819.742419459357,19.464380540642992,19.464380540642992,2.3193783154096215
2022-05-01,854.4602,845.121115756207,9.339084243792968,9.339084243792968,1.0929806027001572
2022-06-01,876.5813,857.3043343988519,19.276965601148163,19.276965601148163,2.199107555813495
2022-07-01,892.7782,882.4868718582388,10.291328141761142,10.291328141761142,1.152730671712318
2022-08-01,905.0845,895.9402591226099,9.144240877390189,9.144240877390189,1.01031902296307
2022-09-01,915.3146,907.9069702105509,7.4076297894491745,7.4076297894491745,0.8092987689095283
2022-10-01,924.3246,917.6044467846716,6.720153215328423,6.720153215328423,0.7270339029523203
2022-11-01,938.9475,926.4049500527581,12.542549947241923,12.542549947241923,1.3358095044975276
2022-12-01,973.8679,942.8383805568523,31.029519443147706,31.029519443147706,3.1862144181102696
2023-01-01,966.4774,983.58890883504,-17.111508835040013,17.111508835040013,1.7705027386093055
2023-02-01,953.7939,961.2299052275025,-7.4360052275025055,7.4360052275025055,0.7796239027637423
2023-03-01,949.4703,951.4972178184285,-2.026917818428501,2.026917818428501,0.21347880164640232
2023-04-01,964.1565,948.8402043730591,15.316295626940928,15.316295626940928,1.5885694518411615
2023-05-01,974.2267,968.9124955379059,5.314204462094153,5.314204462094153,0.5454792464725257
2023-06-01,989.3131,975.8772155330423,13.435884466957646,13.435884466957646,1.3581023507075412
2023-07-01,998.5251,993.4971238466392,5.0279761533607825,5.0279761533607825,0.5035402869052348
2023-08-01,1009.1208,1000.0914165001775,9.02938349982253,9.02938349982253,0.8947772654990888
2023-09-01,1015.4252,1011.9392669783272,3.4859330216728495,3.4859330216728495,0.34329786395618794
2023-10-01,1019.8715,1016.5135448069158,3.3579551930841944,3.3579551930841944,0.3292527728330672
2023-11-01,1035.2892,1020.9207655930353,14.368434406964639,14.368434406964639,1.387866733948798
2023-12-01,1065.9433,1039.7847860882928,26.158513911707132,26.158513911707132,2.4540248915403975
2024-01-01,1055.235,1074.202017558003,-18.967017558003135,18.967017558003135,1.797421196037199
2024-02-01,1044.3938,1049.3395439427893,-4.94574394278925,4.94574394278925,0.47355163759007846
2024-03-01,1034.8498,1042.8532605412352,-8.0034605412352,8.0034605412352,0.773393447168391
2024-04-01,1040.0418,1032.3428366086202,7.698963391379721,7.698963391379721,0.7402551889144957
2024-05-01,1048.8447,1042.446724811274,6.39797518872615,6.39797518872615,0.6100021470029022
2024-06-01,1059.8888,1050.8467595044226,9.04204049557734,9.04204049557734,0.8531121845591103
2024-07-01,1063.4737,1062.7233935841232,0.7503064158768211,0.7503064158768211,0.07055241853905941
2024-08-01,1071.6994,1063.7088269951157,7.990573004884254,7.990573004884254,0.7455983464098472
2024-09-01,1073.2877,1074.203956052873,-0.9162560528729955,0.9162560528729955,0.08536910027693372
2024-10-01,1074.2853,1073.0007545919761,1.2845454080238596,1.2845454080238596,0.11957209207124585
2024-11-01,1080.2831,1074.6877509008734,5.595349099126679,5.595349099126679,0.5179521089542805
2024-12-01,1105.8096,1082.0369647738432,23.772635226156808,23.772635226156808,2.1497946143854065
2025-01-01,1057.0828,1113.2855305280175,-56.20273052801758,56.20273052801758,5.316776559794331
2025-02-01,1041.525,1040.1577475082638,1.3672524917362807,1.3672524917362807,0.13127409248326066
2025-03-01,1025.6573,1041.9224717990141,-16.26517179901407,16.26517179901407,1.5858290872608296
2025-04-01,1024.9016,1020.8159096423271,4.0856903576727746,4.0856903576727746,0.3986422069857999
2025-05-01,1031.8308,1026.113461157355,5.717338842644949,5.717338842644949,0.5540965478685991
2025-06-01,1040.1285,1033.5356391389664,6.592860861033614,6.592860861033614,0.6338506118266747
2025-07-01,1044.0753,1042.097369389379,1.9779306106208878,1.9779306106208878,0.1894432911707506
2025-08-01,1049.7205,1044.66604260418,5.054457395820009,5.054457395820009,0.481505066903048
2025-09-01,1049.0232,1051.230612347892,-2.207412347891932,2.207412347891932,0.2104255032578814
2025-10-01,1052.5941,1048.364063288763,4.230036711237062,4.230036711237062,0.40186779607039996
